MOLECULE_DESC,Disease Score,Patent Score,Innovation Score,Guideline Score,Regulatory Score
ISOSORBIDE MONONITRATE,5.0,0.4,5.6,4.3,8.9
AMLODIPINE BESILATE,9.6,4.7,8.1,3.3,6.1
AMLODIPINE BESILATE + ATENOLOL,7.9,5.4,4.6,6.3,8.1
AMLODIPINE + HYDROCHLOROTHIAZIDE + OLMESARTAN MEDOXOMIL,6.8,2.9,6.6,7.0,7.4
AMLODIPINE BESILATE + LISINOPRIL,3.2,5.9,8.8,3.5,5.6
METOPROLOL SUCCINATE + RAMIPRIL,3.2,0.3,9.5,8.4,9.3
TELMISARTAN,2.5,0.4,2.3,6.2,8.8
AMLODIPINE + TELMISARTAN,8.9,8.2,9.3,6.7,8.0
HYDROCHLOROTHIAZIDE + TELMISARTAN,6.8,3.6,5.4,6.1,9.1
AMLODIPINE BESILATE + INDAPAMIDE,7.7,1.3,3.3,5.8,9.2
AMLODIPINE BESILATE + HYDROCHLOROTHIAZIDE + OLMESARTAN MEDOXOMIL,2.2,5.2,5.1,6.9,8.3
AMLODIPINE + METOPROLOL SUCCINATE,9.8,7.7,9.8,4.1,9.0
DIHYDRALAZINE SULFATE + HYDROCHLOROTHIAZIDE + RESERPINE,8.7,2.2,5.4,4.3,8.2
AMLODIPINE BESILATE + HYDROCHLOROTHIAZIDE,3.7,6.2,4.0,9.0,8.1
AMLODIPINE BESILATE + TELMISARTAN,3.5,0.9,6.7,9.6,7.7
CILNIDIPINE,3.5,0.5,3.2,5.6,8.5
CILNIDIPINE + TELMISARTAN,4.4,5.3,1.7,4.9,5.0
AMLODIPINE BESILATE + METOPROLOL TARTRATE,6.2,5.4,2.2,7.5,9.3
HYDROFLUMETHIAZIDE + SPIRONOLACTONE,5.5,6.4,2.2,5.9,9.2
FENOFIBRATE + ROSUVASTATIN CALCIUM SALT,4.3,7.3,2.4,3.2,4.2
COLECALCIFEROL + ROSUVASTATIN CALCIUM SALT,6.9,9.8,2.2,4.1,9.0
ATORVASTATIN CALCIUM SALT + CLOPIDOGREL BISULFATE,3.1,5.2,6.8,8.0,4.8
NITROGLYCERIN,4.3,3.2,2.6,7.6,6.0
ROSUVASTATIN CALCIUM SALT,4.9,8.0,4.1,3.2,8.5
ATORVASTATIN CALCIUM SALT + COLECALCIFEROL,5.6,2.7,9.1,4.6,5.0
METOPROLOL SUCCINATE + TELMISARTAN,8.3,4.4,5.3,4.6,8.9
METHYLDOPA,3.6,0.8,7.0,7.7,9.0
AMLODIPINE BESILATE + LOSARTAN POTASSIUM SALT,6.1,0.3,2.6,3.1,7.0
LOSARTAN POTASSIUM SALT,6.7,9.6,2.7,3.7,4.0
HYDROCHLOROTHIAZIDE + LOSARTAN POTASSIUM SALT,2.4,8.4,1.4,8.6,5.7
AMLODIPINE BESILATE + ENALAPRIL MALEATE,6.9,7.0,2.5,4.2,7.7
AMLODIPINE BESILATE + BENAZEPRIL HYDROCHLORIDE,3.4,4.1,3.5,7.6,9.9
AMILORIDE HYDROCHLORIDE + FUROSEMIDE,2.5,1.7,2.6,4.7,7.8
CHLORTALIDONE + TELMISARTAN,9.6,1.6,1.8,3.7,5.6
RAMIPRIL,9.7,2.5,2.1,4.7,7.8
PRAZOSIN HYDROCHLORIDE,8.5,5.5,5.1,8.1,7.2
MINOXIDIL,4.4,7.1,2.9,9.0,8.7
LEVAMLODIPINE BESILATE,2.8,6.6,4.3,8.8,4.6
AMLODIPINE BESILATE + NEBIVOLOL HYDROCHLORIDE,7.5,2.8,5.5,5.8,8.6
AMLODIPINE BESILATE + HYDROCHLOROTHIAZIDE + LOSARTAN POTASSIUM SALT,5.5,9.5,7.2,7.7,7.2
AMLODIPINE BESILATE + METOPROLOL SUCCINATE,3.0,7.4,1.4,4.4,9.8
AMLODIPINE + ATENOLOL,6.0,5.5,8.2,5.1,6.1
CHLORTALIDONE + CILNIDIPINE + TELMISARTAN,2.3,6.1,6.7,9.3,7.8
ATORVASTATIN CALCIUM SALT,9.3,4.2,1.7,3.1,9.6
ATORVASTATIN CALCIUM SALT + FENOFIBRATE,4.1,2.5,8.9,3.6,4.6
CILNIDIPINE + OLMESARTAN MEDOXOMIL,7.3,3.6,9.3,4.5,9.6
OLMESARTAN MEDOXOMIL,4.5,7.6,1.5,3.2,8.1
ACETYLSALICYLIC ACID + ROSUVASTATIN CALCIUM SALT,6.2,0.1,3.5,4.3,4.4
CHLORTALIDONE + CILNIDIPINE,6.4,1.2,8.3,7.1,5.8
AMLODIPINE + PERINDOPRIL ERBUMINE,3.5,0.5,7.7,5.9,8.2
CHLORTALIDONE + OLMESARTAN MEDOXOMIL,9.8,0.4,2.7,9.2,4.4
CHLORTALIDONE + METOPROLOL TARTRATE,8.2,8.6,2.9,8.7,7.5
AMLODIPINE BESILATE + HYDROCHLOROTHIAZIDE + TELMISARTAN,9.5,7.0,4.3,5.4,6.1
METOPROLOL TARTRATE + TELMISARTAN,9.2,4.7,5.4,4.8,7.7
AMLODIPINE BESILATE + OLMESARTAN MEDOXOMIL,6.8,1.0,6.6,5.7,4.3
HYDROCHLOROTHIAZIDE + OLMESARTAN MEDOXOMIL,9.4,4.9,4.3,7.1,9.2
CLOPIDOGREL BISULFATE + ROSUVASTATIN CALCIUM SALT,2.7,4.7,5.2,4.9,9.8
ACETYLSALICYLIC ACID + CLOPIDOGREL BISULFATE + ROSUVASTATIN CALCIUM SALT,3.6,1.7,7.7,7.4,9.8
CILNIDIPINE + NEBIVOLOL HYDROCHLORIDE,2.4,4.3,1.3,5.9,8.5
CILNIDIPINE + METOPROLOL SUCCINATE,4.6,4.0,3.3,6.9,4.8
CHLORTALIDONE + CILNIDIPINE + OLMESARTAN MEDOXOMIL,5.1,6.2,7.4,6.1,8.5
AMLODIPINE BESILATE + CHLORTALIDONE + TELMISARTAN,4.2,6.4,9.1,5.1,4.1
ATENOLOL + LOSARTAN POTASSIUM SALT,8.6,0.5,5.6,9.6,4.1
DILTIAZEM HYDROCHLORIDE,4.9,3.7,5.8,8.3,5.9
CHOLINE FENOFIBRATE + ROSUVASTATIN CALCIUM SALT,4.2,6.3,2.0,4.0,6.9
DIHYDRALAZINE SULFATE,6.3,5.0,5.0,9.1,8.6
IRBESARTAN,3.1,8.6,5.8,6.4,8.1
ENALAPRIL MALEATE + LOSARTAN POTASSIUM SALT,8.4,6.6,3.2,9.3,6.7
ATORVASTATIN CALCIUM SALT + TELMISARTAN,2.6,1.6,3.4,8.6,5.6
CLONIDINE HYDROCHLORIDE,9.9,0.7,4.4,6.0,10.0
CLONIDINE + HYDROCHLOROTHIAZIDE,8.2,6.4,1.2,3.2,6.6
ACETYLSALICYLIC ACID LYSIN SALT + CLOPIDOGREL BISULFATE + ROSUVASTATIN CALCIUM SALT,3.6,0.3,3.9,4.9,6.7
HYDROCHLOROTHIAZIDE + NEBIVOLOL HYDROCHLORIDE,2.0,5.9,2.9,6.8,5.0
ATENOLOL + LEVAMLODIPINE BESILATE,8.5,9.4,3.9,7.4,8.8
LEVAMLODIPINE BESILATE + LOSARTAN POTASSIUM SALT,7.7,5.8,2.1,4.8,8.2
LEVAMLODIPINE BESILATE + RAMIPRIL,7.8,3.9,9.0,4.0,5.3
HYDROCHLOROTHIAZIDE + LEVAMLODIPINE BESILATE,8.2,6.4,6.3,8.8,4.5
HYDROCHLOROTHIAZIDE + LEVAMLODIPINE BESILATE + LOSARTAN POTASSIUM SALT,2.6,4.6,7.1,9.9,8.1
ACETYLSALICYLIC ACID + ATORVASTATIN CALCIUM SALT,4.9,5.5,8.1,6.7,7.9
LEVAMLODIPINE BESILATE + TELMISARTAN,2.9,9.4,5.5,4.2,5.6
HYDROCHLOROTHIAZIDE + LEVAMLODIPINE BESILATE + OLMESARTAN MEDOXOMIL,8.9,3.9,1.8,4.9,9.7
ATENOLOL + CHLORTALIDONE,7.0,9.6,5.8,3.1,4.9
ATENOLOL + INDAPAMIDE,4.6,9.1,6.3,9.4,6.6
