KEY(MS+SG+FINAL NFC),PLAIN/COMBINATION,MOLECULE_DESC,STRENGTH (ONLY 1 MOL.),PACK VOLUME,PACK_DESC,BRANDS,MANUFACT. DESC,COMPANY,COMPANY CLUSTER,COMPANY DIVISION,COMPANY SUB DIVISION,COMPANY INDIA BUSINESS PRESCRIPTION,INDIAN_MNC,SUBGROUP,GROUP,SUPERGROUP,ACUTE_CHRONIC,FINAL NFC,CARDIAC SEGMENT,CARDIAC SUB SEGMENTS,MAT FEB'24,MAT FEB'25,MAT FEB'26,SALES 'DEC'25,SALES 'JAN'26,SALES 'FEB'26,MAT CP FEB'24,MAT CP FEB'25,MAT CP FEB'26,QTY MAT FEB'24,QTY MAT FEB'25,QTY MAT FEB'26,PR_DEC'25,PR_JAN'26,PR_FEB'26
ISOSORBIDE MONONITRATEC01F02 ISOSORBIDE-5-MONONITRATESOLIDS,Plain,ISOSORBIDE MONONITRATE,10 MG,0,5-MONO TAB UNCOATED 10 MG x 10,5-MONO,ZYDUS BIOCHEM,ZYDUS CADILA*,ZYDUS CADILA*,ZYDUS CADILA*,ZYDUS CADILA*,ZYDUS CADILA*,INDIAN,C01F02 ISOSORBIDE-5-MONONITRATE,C01F NITRATES,CARDIAC,CHRONIC,SOLIDS,Anti Angina,Nitrates,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,127,260,191,11.07,11.07,11.07
ISOSORBIDE MONONITRATEC01F02 ISOSORBIDE-5-MONONITRATESOLIDS,Plain,ISOSORBIDE MONONITRATE,20 MG,0,5-MONO TAB UNCOATED 20 MG x 10,5-MONO,ZYDUS BIOCHEM,ZYDUS CADILA*,ZYDUS CADILA*,ZYDUS CADILA*,ZYDUS CADILA*,ZYDUS CADILA*,INDIAN,C01F02 ISOSORBIDE-5-MONONITRATE,C01F NITRATES,CARDIAC,CHRONIC,SOLIDS,Anti Angina,Nitrates,0.1,0.1,0.1,0.0,0.0,0.0,0.1,0.1,0.1,292,407,364,23.03,23.03,23.03
ISOSORBIDE MONONITRATEC01F02 ISOSORBIDE-5-MONONITRATESOLIDS,Plain,ISOSORBIDE MONONITRATE,30 MG,0,5-MONO FIL.C.TAB.SR 30 MG x 10,5-MONO,ZYDUS BIOCHEM,ZYDUS CADILA*,ZYDUS CADILA*,ZYDUS CADILA*,ZYDUS CADILA*,ZYDUS CADILA*,INDIAN,C01F02 ISOSORBIDE-5-MONONITRATE,C01F NITRATES,CARDIAC,CHRONIC,SOLIDS,Anti Angina,Nitrates,0.1,0.1,0.1,0.0,0.0,0.0,0.1,0.1,0.1,437,386,463,30.71,30.71,30.71
AMLODIPINEC01D03 AMLODIPINESOLIDS,Plain,AMLODIPINE BESILATE,5 MG,0,AAMIN TABS 5 MG x 10,AAMIN,TARGOF,TARGOF,TARGOF,TARGOF,TARGOF,TARGOF,INDIAN,C01D03 AMLODIPINE,C01D CALCIUM CHANNEL BLOCKERS,CARDIAC,CHRONIC,SOLIDS,Anti Hypertensives,CCB,0.1,0.3,0.2,0.0,0.0,0.0,0.1,0.3,0.2,373,1474,1275,17.3,17.3,17.3
AMLODIPINE+ATENOLOLC02F02 ATENOLOL+AMLODIPINESOLIDS,Combination,AMLODIPINE BESILATE + ATENOLOL,50 MG,0,AAMIN-A TABS 50 MG x 10 (/5MG),AAMIN-A,TARGOF,TARGOF,TARGOF,TARGOF,TARGOF,TARGOF,INDIAN,C02F02 ATENOLOL+AMLODIPINE,C02F HYPOTENSIVE DUAL COMB.,CARDIAC,CHRONIC,SOLIDS,Anti Hypertensives,AHT Dual Comb.,0.2,0.5,0.5,0.0,0.0,0.0,0.2,0.5,0.5,602,1680,1675,26.92,26.92,26.92
AMLODIPINE+HYDROCHLOROTHIAZIDE+OLMESARTAN MEDOXOMILC02I02 AMLODIPINE+HCT+OLMESARTANSOLIDS,Combination,AMLODIPINE + HYDROCHLOROTHIAZIDE + OLMESARTAN MEDOXOMIL,20 MG,0,OLMAX-3D FILM C.TABS 20 MG x 10,OLMAX-3D,GLENMARK PHARMA,GLENMARK PHARMA,GLENMARK PHARMA,GLENMARK PHARMA,GLENMARK PHARMA,GLENMARK PHARMA,INDIAN,C02I02 AMLODIPINE+HCT+OLMESARTAN,C02I HYPOTENS. TRIPLE/POLY COMB.,CARDIAC,CHRONIC,SOLIDS,Anti Hypertensives,AHT Triple / Poly Comb.,0.7,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,582,10,5,120.36,120.36,120.36
AMLODIPINE+HYDROCHLOROTHIAZIDE+OLMESARTAN MEDOXOMILC02I02 AMLODIPINE+HCT+OLMESARTANSOLIDS,Combination,AMLODIPINE + HYDROCHLOROTHIAZIDE + OLMESARTAN MEDOXOMIL,40 MG,0,OLMAX-3D FILM C.TABS 40 MG x 10,OLMAX-3D,GLENMARK PHARMA,GLENMARK PHARMA,GLENMARK PHARMA,GLENMARK PHARMA,GLENMARK PHARMA,GLENMARK PHARMA,INDIAN,C02I02 AMLODIPINE+HCT+OLMESARTAN,C02I HYPOTENS. TRIPLE/POLY COMB.,CARDIAC,CHRONIC,SOLIDS,Anti Hypertensives,AHT Triple / Poly Comb.,0.4,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,193,8,8,183.57,183.57,183.57
AMLODIPINE+LISINOPRILC02F03 AMLODIPINE+LISINOPRILSOLIDS,Combination,AMLODIPINE BESILATE + LISINOPRIL,5 MG,0,ACEDIP TAB UNCOATED 5 MG x 10 (/5MG),ACEDIP,RPG LIFE SCIENCES,RPG LIFE SCIENCES,RPG LIFE SCIENCES,RPG LIFE SCIENCES,RPG LIFE SCIENCES,RPG LIFE SCIENCES,INDIAN,C02F03 AMLODIPINE+LISINOPRIL,C02F HYPOTENSIVE DUAL COMB.,CARDIAC,CHRONIC,SOLIDS,Anti Hypertensives,AHT Dual Comb.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,56.1,56.1,56.1
METOPROLOL+RAMIPRILC02F0V METOPROLOL + RAMIPRILSOLIDS,Combination,METOPROLOL SUCCINATE + RAMIPRIL,50 MG,0,ACE REVELOL FIL.C.BILAYE 50 MG x 10 (/5MG),ACE REVELOL,IPCA LABS,IPCA LABS,IPCA LABS,IPCA LABS,IPCA LABS,IPCA LABS,INDIAN,C02F0V METOPROLOL + RAMIPRIL,C02F HYPOTENSIVE DUAL COMB.,CARDIAC,CHRONIC,SOLIDS,Anti Hypertensives,AHT Dual Comb.,4.8,4.9,4.6,0.4,0.4,0.3,4.4,4.4,4.2,2145,1972,1715,270.97,270.97,270.97
METOPROLOL+RAMIPRILC02F0V METOPROLOL + RAMIPRILSOLIDS,Combination,METOPROLOL SUCCINATE + RAMIPRIL,25 MG,0,ACE REVELOL FIL.C.BILAYE 25 MG x 10 (/2.5),ACE REVELOL,IPCA LABS,IPCA LABS,IPCA LABS,IPCA LABS,IPCA LABS,IPCA LABS,INDIAN,C02F0V METOPROLOL + RAMIPRIL,C02F HYPOTENSIVE DUAL COMB.,CARDIAC,CHRONIC,SOLIDS,Anti Hypertensives,AHT Dual Comb.,5.4,5.9,5.8,0.5,0.5,0.4,4.9,5.4,5.3,4073,4090,3618,160.93,160.93,160.93
AMLODIPINEC01D03 AMLODIPINESOLIDS,Plain,AMLODIPINE BESILATE,5 MG,0,AMLOGOLD TAB UNCOATED 5 MG x 10,AMLOGOLD,GOLDLINE PHARMACE.,GOLDLINE PHARMACE.,GOLDLINE PHARMACE.,GOLDLINE PHARMACE.,GOLDLINE PHARMACE.,GOLDLINE PHARMACE.,INDIAN,C01D03 AMLODIPINE,C01D CALCIUM CHANNEL BLOCKERS,CARDIAC,CHRONIC,SOLIDS,Anti Hypertensives,CCB,0.1,0.1,0.1,0.0,0.0,0.0,0.1,0.1,0.1,333,309,322,20.31,20.31,20.31
