COMPANY,MAT FEB'24,MAT FEB'26,CAGR,Market Share
4CARE LIFESCIENCE,3.0,4.5,0.22474487139158894,0.00019372669898315006
A.N.PHARMACIA,0.3,0.3,0.0,1.2915113265543336e-05
AAREEN HEALTHCARE,10.3,25.7,0.5796029979295307,0.0011063947030815458
ABARIS HEALTHCARE,0.0,0.0,0.0,0.0
ABBOTT*,335.7,412.8,0.10890457102124618,0.01777119585338763
ACMEDIX PHARMA,0.30000000000000004,0.8,0.6329931618554521,3.44403020414489e-05
ACRON,0.1,0.1,0.0,4.305037755181113e-06
ADMAC*,0.0,0.0,0.0,0.0
ADRET RETAIL,0.0,0.0,0.0,0.0
AIMIL,0.1,0.8,1.8284271247461903,3.44403020414489e-05
AISHIKA PHARMA,0.0,0.1,0.0,4.305037755181113e-06
AISHWARYA HEALTH.,0.0,0.0,0.0,0.0
AJANTA PHARMA,410.1,489.7,0.09274837004858671,0.021081769887121907
AKCENT HEALTHCARE,0.0,0.0,0.0,0.0
AKESISS PHARMA,4.1,3.5,-0.07606356464020425,0.00015067632143133893
AKUMENTIS HEALTH,111.3,114.5,0.014273692398035998,0.0049292682296823735
ALDE MEDI IMPEX,3.8,3.6,-0.026671473215424735,0.00015498135918652004
ALEMBIC,474.90000000000003,530.4,0.056819146675908705,0.02283392025348062
ALKEM*,162.1,176.0,0.04199306011251358,0.0075768664491187585
ALNICHE*,0.1,0.1,0.0,4.305037755181113e-06
ALTEUS BIOGENICS,10.3,23.5,0.5104811809679233,0.0010116838724675615
ALVIO PHARMA,13.5,19.1,0.18945988365090094,0.0008222622112395926
AMWIN PHARMA,0.0,0.0,0.0,0.0
AN PHARMACEUTICALS,0.2,0.4,0.41421356237309515,1.722015102072445e-05
ANAX LIFESCIENCE.,1.1,1.6,0.20604537831105452,6.88806040828978e-05
ANTHEM BIOPHARMA,0.8,1.0,0.1180339887498949,4.305037755181113e-05
ANTHUS PHARMA,5.0,5.4,0.039230484541326494,0.0002324720387797801
APEX,0.8,1.3,0.2747548783981961,5.596549081735446e-05
ARINNA LIFESCIENCE,1.0,3.2,0.7888543819998317,0.0001377612081657956
ARISTO PHARMA*,513.8,651.8,0.12631567459226556,0.02806023608827049
ASTRANOVA BIOTECH,0.0,0.0,0.0,0.0
ASTRAZENECA,72.9,68.39999999999999,-0.03135579032429481,0.0029446458245438807
ATHENS LIFE SCIEN.,0.0,0.0,0.0,0.0
AVIN PHARMA,0.0,0.0,0.0,0.0
AVIS LIFE CARE,0.0,0.0,0.0,0.0
BACFO PHARMA,0.0,0.1,0.0,4.305037755181113e-06
BAIDYANATH,0.0,0.0,0.0,0.0
BAN LABS.,0.0,0.0,0.0,0.0
BARODA PHARMA,5.1,5.7,0.05718827974184881,0.00024538715204532345
BAYER ZYDUS PHARMA,0.6000000000000001,0.30000000000000004,-0.2928932188134524,1.291511326554334e-05
BDR PHARMA,0.0,0.4,0.0,1.722015102072445e-05
BENNET PHARMA,0.0,0.0,0.0,0.0
BILBERRY PHARMA.,0.0,0.0,0.0,0.0
BIOKINDLE LIFESCIE,0.0,0.1,0.0,4.305037755181113e-06
BLUE CROSS,102.4,114.4,0.056970907830485196,0.004924963191927193
BRINTON PHARMA,0.0,0.1,0.0,4.305037755181113e-06
CADILA PHARMA,82.0,72.0,-0.06295742866836362,0.003099627183730401
CALREN CARE LIFESC,0.0,0.0,0.0,0.0
CAPLET INDIA,13.5,13.4,-0.0037105879351158055,0.0005768750591942691
CAPTAB,0.0,0.0,0.0,0.0
CELAGENEX RESEARCH,0.0,0.30000000000000004,0.0,1.291511326554334e-05
CELON LAB,1.3,1.2999999999999998,-1.1102230246251565e-16,5.5965490817354455e-05
CENTAUR,0.0,0.0,0.0,0.0
CHANDRA BHAGAT PHA,0.0,0.0,0.0,0.0
CHEMO BIOLOGICAL,0.0,0.0,0.0,0.0
CIPLA*,359.9,389.5,0.04031008265539038,0.016768122056430433
CMR LIFE SCIENCES,2.4000000000000004,2.2,-0.0425728922436619,9.471083061398449e-05
COLINZ,0.0,0.0,0.0,0.0
COMED CHEMICALS,0.0,0.0,0.0,0.0
CONCEPT PHARMA,0.0,0.0,0.0,0.0
CONSENT PHARMA,0.0,0.1,0.0,4.305037755181113e-06
CONSERN PHARMA,0.1,0.1,0.0,4.305037755181113e-06
CORONA REMEDIES,137.2,223.8,0.27718257711142,0.00963467449609533
CRUENTUS PHARMA,0.0,0.0,0.0,0.0
CUROSIS HEALTHCARE,0.0,0.0,0.0,0.0
D D PHARMA,0.1,0.0,-1.0,0.0
D.R.JOHNS LAB,0.0,0.2,0.0,8.610075510362225e-06
DABUR INDIA,1.9000000000000001,3.5000000000000004,0.3572417850765923,0.00015067632143133896
DAXIN PHARMA,0.0,0.0,0.0,0.0
DEW DROPS LABS,0.0,0.1,0.0,4.305037755181113e-06
DEWMEDIC HEALTH.,0.0,0.6000000000000001,0.0,2.583022653108668e-05
DIVINE SAVIOR,0.30000000000000004,0.1,-0.42264973081037427,4.305037755181113e-06
DR.CURE PHARMA,0.0,0.0,0.0,0.0
DR.REDDYS LABS*,507.5,528.4,0.020383391676801255,0.022747819498377
DYCINE PHARMA,0.0,0.1,0.0,4.305037755181113e-06
EAST INDIA,0.4,0.7,0.32287565553229514,3.0135264286267786e-05
EAST WEST PHARMA,35.6,51.5,0.20275900058288743,0.002217094443918273
ELBRIT LIFE SCIEN.,0.0,5.8,0.0,0.0002496921898005045
ELDER PHARMA,0.39999999999999997,0.30000000000000004,-0.13397459621556118,1.291511326554334e-05
EMCURE*,558.0,608.3,0.044099310015875526,0.026187544664766707
ERGOS LIFE SCIENCE,3.7,6.1,0.2839971373210488,0.00026260730306604783
ERINYLE HEALTHCARE,2.3000000000000003,3.2,0.1795356492391771,0.0001377612081657956
ERIS LIFESCIENCES*,420.9,447.4,0.03099967173473428,0.019260738916680297
ESWAR THERAPEUTICS,0.0,7.7,0.0,0.0003314879071489457
EVERVITAL LIFESCI.,0.0,0.0,0.0,0.0
EXELTIS,18.0,25.700000000000003,0.19489655526232808,0.001106394703081546
EYSYS PHARMA.,5.8,12.8,0.4855627054164149,0.0005510448326631824
FDC,80.2,83.7,0.021587440092922572,0.003603316601086591
FIDUS HEALTHCARE,0.0,3.4,0.0,0.00014637128367615783
FINECURE PHARMA*,2.7,5.2,0.3877773329774219,0.00022386196326941785
FOREGEN HEALTHCARE,0.0,0.0,0.0,0.0
FOURRTS INDIA,0.0,0.0,0.0,0.0
