MOLECULE_DESC,MAT FEB'24,MAT FEB'26,QTY MAT FEB'26,CAGR,Market Share
ACETYLSALICYLIC ACID + ATENOLOL + HYDROCHLOROTHIAZIDE + RAMIPRIL + SIMVASTATIN,4.6,4.1,1638,-0.05591083693006682,0.00017650654796242562
ACETYLSALICYLIC ACID + ATORVASTATIN CALCIUM SALT,444.90000000000003,569.9,1522880,0.1317959241558153,0.024534410166777165
ACETYLSALICYLIC ACID + ATORVASTATIN CALCIUM SALT + CLOPIDOGREL,12.9,17.6,26521,0.1680501210441776,0.000757686644911876
ACETYLSALICYLIC ACID + ATORVASTATIN CALCIUM SALT + CLOPIDOGREL BESILATE,3.1,4.0,7230,0.13592366849412962,0.00017220151020724454
ACETYLSALICYLIC ACID + ATORVASTATIN CALCIUM SALT + CLOPIDOGREL BISULFATE,332.09999999999997,403.59999999999997,486099,0.10240491536024021,0.017375132379910972
ACETYLSALICYLIC ACID + ATORVASTATIN CALCIUM SALT + METOPROLOL TARTRATE + RAMIPRIL,0.0,0.0,0,0.0,0.0
ACETYLSALICYLIC ACID + ATORVASTATIN CALCIUM SALT + RAMIPRIL,13.6,14.6,34934,0.0361126443416786,0.0006285355122564425
ACETYLSALICYLIC ACID + CLOPIDOGREL + ROSUVASTATIN CALCIUM SALT,76.0,89.2,48905,0.08336707099962926,0.003840093677621553
ACETYLSALICYLIC ACID + CLOPIDOGREL BESILATE + ROSUVASTATIN CALCIUM SALT,10.1,14.4,8262,0.19404462825198698,0.0006199254367460803
ACETYLSALICYLIC ACID + CLOPIDOGREL BISULFATE + ROSUVASTATIN CALCIUM SALT,447.1,566.7,306413,0.12583376991324724,0.02439664895861137
ACETYLSALICYLIC ACID + ISOSORBIDE MONONITRATE,0.0,0.0,1,0.0,0.0
ACETYLSALICYLIC ACID + ROSUVASTATIN CALCIUM SALT,233.7,307.1,380455,0.1463323591441017,0.0132207709461612
ACETYLSALICYLIC ACID CALCIUM SALT + ATORVASTATIN CALCIUM SALT + CLOPIDOGREL BISULFATE,3.4,33.4,30913,2.134251012884052,0.0014378826102304917
ACETYLSALICYLIC ACID CALCIUM SALT + CLOPIDOGREL BISULFATE + ROSUVASTATIN CALCIUM SALT,0.0,0.0,42,0.0,0.0
ACETYLSALICYLIC ACID LYSIN SALT + CLOPIDOGREL BISULFATE + ROSUVASTATIN CALCIUM SALT,0.3,0.3,220,0.0,1.291511326554334e-05
ACETYLSALICYLIC ACID LYSIN SALT + ROSUVASTATIN CALCIUM SALT,0.8,1.7,2674,0.4577379737113252,7.318564183807893e-05
ALLIUM SATIVUM,6.1,6.8999999999999995,45500,0.06355420218416996,0.0002970476051074968
ALLIUM SATIVUM + CAMELLIA SINENSIS + COMMIPHORA WIGHTII EXTRACT + TERMINALIA ARJUNA + ZINGIBER OFFICINALE,0.0,0.0,56,0.0,0.0
ALLIUM SATIVUM + CINNAMOMUM ZEYLANICUM + COMMIPHORA WIGHTII + PHYLLANTHUS EMBLICA + TERMINALIA ARJUNA,0.0,0.0,143,0.0,0.0
ALLIUM SATIVUM + ECLIPTA PROSTRATA + TERMINALIA ARJUNA,0.0,0.0,0,0.0,0.0
ALLIUM SATIVUM EXTRACT + LEVOCARNITINE HYDROCHLORIDE + LINUM USITATISSIMUM + MULTIVITAMINS AND MINERALS + UBIDECARENONE,0.0,0.0,0,0.0,0.0
ALLIUM SATIVUM EXTRACT + TERMINALIA ARJUNA EXTRACT,0.0,0.1,162,0.0,4.3050377551811136e-06
ALLIUM SATIVUM OIL,0.1,0.0,333,-1.0,0.0
ALLIUM SATIVUM POWDER + CURCUMA LONGA POWDER + NEPETA HINDOSTANA EXTRACT,0.2,0.2,945,0.0,8.610075510362227e-06
AMILORIDE HYDROCHLORIDE + ATENOLOL + HYDROCHLOROTHIAZIDE,0.0,0.0,0,0.0,0.0
AMILORIDE HYDROCHLORIDE + FUROSEMIDE,4.4,4.5,45436,0.011299793694863114,0.00019372669898315008
AMILORIDE HYDROCHLORIDE + HYDROCHLOROTHIAZIDE,0.1,0.0,161,-1.0,0.0
AMILORIDE HYDROCHLORIDE + TORASEMIDE,2.5,2.1,2881,-0.0834848610088319,9.040579285880338e-05
AMLODIPINE,1.1,1.0,4990,-0.04653741075440765,4.3050377551811134e-05
AMLODIPINE + ATENOLOL,1.1,0.9,1705,-0.09546596626670911,3.874533979663002e-05
AMLODIPINE + CHLORTALIDONE,3.2,3.1,2506,-0.01574901574852361,0.00013345617041061452
AMLODIPINE + CHLORTALIDONE + LOSARTAN POTASSIUM SALT,4.5,4.5,5080,0.0,0.00019372669898315008
