MOLECULE_DESC,MAT FEB'24,MAT FEB'26,Cipla Sales,Disease Score,Patent Score,Innovation Score,Guideline Score,Regulatory Score,External Score,Market Score,CAGR,Growth Score,Num Competitors,Competition Score,Future Score,Cipla Share,Right to Win Score,Confidence Score,Strategic Fit Score,Risk Score,Business Impact Score,Opportunity Score,Rank
AMLODIPINE + METOPROLOL SUCCINATE,9.1,8.700000000000001,4.6,9.9,7.7,9.8,4.1,9.0,8.1,0.04826094192045265,-0.022224997228935006,1.911193248399041,8,9.583333333333334,8.1,0.528735632183908,10.0,89.0,6.0,11.6,0.1,54.5,1
ACETYLSALICYLIC ACID + CLOPIDOGREL BESILATE + ROSUVASTATIN CALCIUM SALT,10.1,14.4,7.4,7.8,9.9,2.6,5.0,6.9,6.4,0.0798801797304044,0.19404462825198698,2.3339214290965633,4,9.821428571428571,6.4,0.513888888888889,9.719202898550726,91.8,5.9,18.9,0.2,51.8,2
INCLISIRAN SODIUM SALT,2.3,60.2,0.0,9.2,5.9,1.6,3.5,5.9,5.2,0.3339435291507184,4.11604466785409,10.0,4,9.821428571428571,5.2,0.0,0.0,89.4,0.1,24.9,3.3,46.0,3
FENOFIBRATE,75.7,97.0,27.7,8.6,9.5,3.6,8.4,6.4,7.3,0.5380817662395296,0.1319778461266512,2.21260352404518,11,9.404761904761905,7.3,0.28556701030927834,5.400941281936352,93.7,3.5,16.5,1.2,45.3,4
ROSUVASTATIN CALCIUM SALT,1395.4,1802.7,29.9,4.9,8.0,4.1,3.2,8.5,5.7,10.0,0.13661234851063941,2.221662284640271,137,1.904761904761905,5.7,0.016586231763465912,0.3136961224829423,94.0,4.2,62.0,22.2,44.3,5
AMLODIPINE BESILATE + ATENOLOL,688.6999999999999,758.4000000000001,104.10000000000001,8.0,5.4,4.6,6.3,8.1,6.5,4.207022799134632,0.049383232741635696,2.0511612014165554,70,5.892857142857143,6.5,0.13726265822784808,2.5960546230049535,88.5,3.2,38.0,8.6,41.7,6
ACETYLSALICYLIC ACID CALCIUM SALT + ATORVASTATIN CALCIUM SALT + CLOPIDOGREL BISULFATE,3.4,33.4,0.0,7.7,0.9,8.3,4.9,9.9,6.3,0.18527763909691017,2.134251012884052,6.12631674734518,1,10.0,6.3,0.0,0.0,93.2,0.1,18.5,1.1,40.3,7
SAROGLITAZAR,191.1,537.6,0.0,4.6,5.6,4.5,5.1,8.3,5.6,2.9821933766017636,0.6772557387550693,3.27842278096956,3,9.880952380952381,5.6,0.0,0.0,92.9,1.2,22.6,9.8,40.0,8
AMLODIPINE BESILATE + METOPROLOL TARTRATE + TELMISARTAN,1.9000000000000001,12.3,0.0,6.1,7.0,4.7,8.1,9.6,7.1,0.06823098685305376,1.5443435716361726,4.973263012387635,3,9.880952380952381,7.1,0.0,0.0,86.7,0.0,15.1,0.3,39.1,9
NICORANDIL,370.7,482.7,0.0,9.2,8.3,7.9,4.5,4.4,6.9,2.677650191379597,0.14110959303567627,2.2304527562194085,20,8.869047619047619,6.9,0.0,0.0,85.6,1.1,21.2,6.0,38.3,10
ACETYLSALICYLIC ACID + ATORVASTATIN CALCIUM SALT,444.90000000000003,569.9,1.5,4.9,5.5,8.1,6.7,7.9,6.6,3.1613690575248237,0.1317959241558153,2.2122479329926255,30,8.273809523809524,6.6,0.0026320407088962976,0.04977990036390824,94.5,1.3,25.6,7.0,38.0,11
PRAZOSIN HYDROCHLORIDE,355.79999999999995,404.09999999999997,0.0,8.6,5.5,5.1,8.1,7.2,6.9,2.241637543684473,0.06571591973900826,2.08308564316351,12,9.345238095238095,6.9,0.0,0.0,90.6,0.9,18.8,4.7,37.6,12
AMLODIPINE BESILATE + TELMISARTAN,795.0,1093.1,46.8,3.5,0.9,6.7,9.6,7.7,5.7,6.063682254396183,0.17259053102910538,2.29198649964279,123,2.738095238095238,5.7,0.04281401518616778,0.8097433306949126,88.8,2.9,57.8,13.9,36.9,13
METOPROLOL FUMARATE + TELMISARTAN,0.1,0.1,0.0,7.7,8.5,9.2,9.7,9.1,8.8,0.0005547234703500305,0.0,1.954635005990765,1,10.0,8.8,0.0,0.0,87.3,0.0,6.0,0.0,36.5,14
AMLODIPINE + TELMISARTAN,282.8,281.0,0.0,9.0,8.2,9.3,6.7,8.0,8.2,1.5587729516835858,-0.0031875413130644237,1.9484045261572076,31,8.214285714285714,8.2,0.0,0.0,86.5,0.6,17.9,3.0,36.5,15
HYDROCHLOROTHIAZIDE + S-METOPROLOL SUCCINATE,6.9,7.2,0.0,7.2,9.7,7.7,9.1,10.0,8.7,0.0399400898652022,0.0215078369104984,1.9966749769191656,1,10.0,8.7,0.0,0.0,93.6,0.0,6.5,0.1,36.5,16
TRADITIONAL INDIAN AYURVEDIC MEDICINE,1.8,4.4,0.0,7.2,9.9,8.3,4.3,9.6,7.9,0.024407832695401345,0.5634719199411433,3.0560169456005495,8,9.583333333333334,7.9,0.0,0.0,85.4,0.0,12.6,0.1,36.3,17
AMLODIPINE MALEATE + HYDROCHLOROTHIAZIDE + OLMESARTAN MEDOXOMIL,0.0,0.1,0.0,6.6,9.5,9.3,8.7,9.0,8.6,0.0005547234703500305,0.0,1.954635005990765,1,10.0,8.6,0.0,0.0,50.0,0.0,7.0,0.0,36.1,18
ATORVASTATIN CALCIUM SALT,880.0,989.1,34.6,9.4,4.2,1.7,3.1,9.6,5.6,5.4867698452321525,0.06017794389775566,2.0722609217218664,105,3.8095238095238093,5.6,0.034981296127792945,0.6616027745908668,93.8,2.6,53.0,11.4,36.1,19
COMMIPHORA MOLMOL + INULA RACEMOSA + TERMINALIA ARJUNA,1.0,1.2,0.0,9.5,8.7,6.6,8.1,9.2,8.4,0.006656681644200366,0.09544511501033215,2.1411953689407746,1,10.0,8.4,0.0,0.0,86.6,0.0,8.0,0.0,36.1,20
ALLIUM SATIVUM + ECLIPTA PROSTRATA + TERMINALIA ARJUNA,0.0,0.0,0.0,8.8,7.8,8.9,7.9,9.2,8.5,0.0,0.0,1.954635005990765,1,10.0,8.5,0.0,0.0,50.0,0.0,7.5,0.0,35.9,21
